Study Hours,Sleep Hours,Assignment Submitted,Topics to Cover,Topic Difficulty,Learning Capacity,Previous Test Score,Class Participation,Concentration Level,Distraction Time,Health Status,Study Environment,Revision Done,Time Left for Exam,Practice Tests Taken,Topic Familiarity,Predicted Score
5,6.5,Yes,3,Medium,Low,96,Medium,2,1.2,Okay,Distracting,Yes,3,0,First Time,65.6
5,7.6,No,2,Low,Low,86,Low,3,2.8,Okay,Distracting,Yes,0,3,Revision,65.2
9,6.4,Yes,4,Medium,High,98,Medium,1,3.9,Sick,Distracting,No,4,0,First Time,76.0
7,5.4,Yes,7,High,Low,69,Low,3,2.3,Healthy,Quiet,No,2,2,Revision,73.2
5,5.8,Yes,7,Low,Low,63,High,5,0.8,Healthy,Distracting,Yes,1,3,First Time,80.0
5,8.3,Yes,3,Low,Low,80,High,2,1.7,Sick,Quiet,No,2,3,First Time,71.0
3,6.3,No,2,Low,High,56,Medium,3,2.0,Okay,Distracting,Yes,4,1,First Time,57.6
6,5.1,No,2,Medium,High,88,Low,2,0.6,Okay,Quiet,No,0,1,First Time,64.0
7,8.7,No,3,Medium,Low,84,High,5,1.3,Sick,Distracting,No,3,0,Revision,65.0
2,8.0,No,2,Low,Medium,89,High,3,1.8,Healthy,Quiet,Yes,2,1,First Time,61.4
6,4.3,No,6,Medium,Low,59,High,5,1.0,Healthy,Quiet,No,3,3,First Time,64.6
2,9.0,No,6,Medium,High,65,Medium,2,1.4,Healthy,Quiet,Yes,0,1,Revision,55.2
7,7.5,Yes,2,Low,Low,44,Low,2,1.1,Healthy,Quiet,No,2,3,Revision,97.8
0,4.8,No,1,Low,Low,52,Medium,4,2.5,Healthy,Quiet,Yes,4,1,Revision,51.6
0,5.2,No,2,Low,High,78,Low,2,2.3,Healthy,Distracting,Yes,0,1,First Time,39.8
5,7.5,No,7,High,High,43,Medium,4,2.2,Healthy,Distracting,No,4,3,First Time,53.6
9,7.9,No,4,Low,Medium,84,High,5,0.4,Sick,Quiet,Yes,2,0,First Time,89.4
8,5.2,No,2,Low,Low,56,Low,1,0.7,Okay,Quiet,No,0,0,Revision,75.0
3,5.3,Yes,4,Low,Low,79,Medium,5,0.4,Healthy,Quiet,Yes,3,3,Revision,86.8
5,5.5,Yes,3,Low,Low,98,High,4,0.3,Okay,Distracting,No,1,0,First Time,72.4
4,7.0,Yes,2,Low,Medium,74,High,1,1.0,Sick,Distracting,Yes,4,0,Revision,78.0
0,4.9,Yes,3,Low,Medium,96,Low,4,0.8,Sick,Quiet,No,1,2,Revision,55.2
5,4.5,Yes,5,Low,Low,70,Medium,2,2.9,Okay,Distracting,No,3,3,First Time,58.2
8,7.4,No,7,Low,High,55,High,4,2.8,Sick,Distracting,Yes,2,1,First Time,71.6
2,7.9,Yes,6,High,Low,73,Low,1,0.8,Sick,Distracting,Yes,1,1,Revision,37.6
2,6.5,Yes,2,Medium,Low,98,Low,4,0.7,Sick,Distracting,No,2,2,Revision,54.6
1,5.8,No,3,High,Low,71,High,3,0.6,Okay,Distracting,Yes,1,3,Revision,42.4
3,6.2,Yes,5,High,High,72,Medium,3,1.3,Healthy,Quiet,No,2,1,Revision,71.8
9,5.9,Yes,4,Low,Medium,97,Low,5,1.2,Okay,Distracting,No,1,0,First Time,90.4
2,8.8,No,4,Low,Medium,47,High,5,0.1,Healthy,Distracting,No,3,1,Revision,60.2
1,7.8,No,6,Low,Low,69,High,1,2.3,Okay,Quiet,No,3,3,Revision,40.8
0,5.0,No,6,Low,Low,42,High,4,3.6,Healthy,Quiet,No,3,1,Revision,37.8
2,5.9,Yes,7,Medium,Low,56,Medium,2,2.2,Sick,Distracting,No,3,2,First Time,31.4
9,6.7,Yes,7,Medium,High,98,Medium,1,0.3,Sick,Quiet,No,1,2,First Time,85.8
5,7.1,Yes,4,High,Low,90,Low,1,2.4,Okay,Quiet,Yes,3,0,Revision,66.0
8,6.3,No,4,Medium,High,63,Low,1,1.9,Healthy,Distracting,Yes,2,2,Revision,81.8
4,8.1,Yes,4,High,Low,55,High,5,3.6,Sick,Quiet,No,3,1,Revision,60.6
2,7.8,Yes,1,Low,Low,98,Low,1,1.5,Sick,Distracting,No,1,1,First Time,43.4
4,6.5,Yes,7,High,Low,59,High,4,3.0,Okay,Quiet,Yes,0,0,First Time,57.0
4,8.3,Yes,6,High,Medium,49,Low,1,0.2,Okay,Distracting,Yes,3,0,Revision,58.0
4,7.8,No,3,Medium,Low,98,Medium,2,2.9,Sick,Quiet,No,1,0,First Time,37.6
6,7.9,No,5,High,Low,94,Medium,1,0.2,Okay,Quiet,Yes,3,3,Revision,63.8
4,8.8,No,5,Low,Low,63,High,5,1.4,Sick,Distracting,Yes,3,3,Revision,59.6
6,5.3,No,2,Low,Low,86,Low,5,3.8,Sick,Distracting,No,4,3,Revision,60.0
8,5.3,Yes,3,Low,High,46,Low,2,2.8,Sick,Quiet,No,1,2,First Time,85.0
4,8.4,No,6,Low,High,87,Low,1,3.7,Okay,Distracting,Yes,3,1,First Time,42.8
1,7.9,Yes,1,Medium,Low,88,High,1,2.0,Okay,Distracting,Yes,3,2,First Time,50.2
4,8.6,No,1,High,High,59,Low,1,2.4,Healthy,Distracting,Yes,4,1,First Time,50.0
7,4.3,No,3,High,Low,52,Medium,5,2.1,Healthy,Quiet,No,2,2,Revision,71.4
3,7.1,Yes,4,High,Low,68,Low,1,1.9,Sick,Distracting,No,3,0,Revision,41.0
1,4.7,Yes,4,High,High,49,Medium,5,2.3,Okay,Distracting,Yes,3,3,Revision,60.8
9,6.5,No,3,Low,High,48,Low,5,0.2,Healthy,Distracting,Yes,4,1,Revision,100.0
2,4.8,Yes,6,Medium,Low,46,High,4,0.7,Healthy,Distracting,Yes,2,1,First Time,54.2
8,4.6,No,5,High,Medium,83,High,3,0.9,Sick,Distracting,Yes,1,1,First Time,58.4
8,4.1,Yes,4,High,Low,72,Low,5,1.5,Sick,Distracting,No,3,2,First Time,63.2
7,7.2,No,2,Medium,Low,63,Low,3,1.7,Okay,Quiet,No,2,2,First Time,64.2
7,5.8,No,6,High,Medium,55,Medium,4,3.0,Healthy,Quiet,No,0,1,Revision,67.6
7,4.5,No,6,Medium,High,71,High,3,0.7,Sick,Quiet,Yes,2,0,First Time,67.6
7,5.6,No,1,High,Medium,43,Low,3,2.3,Healthy,Distracting,Yes,3,0,First Time,64.6
7,4.8,Yes,7,Medium,Low,53,High,2,1.1,Okay,Distracting,Yes,2,0,Revision,75.4
0,8.7,Yes,4,High,High,99,High,2,2.1,Okay,Distracting,No,2,3,Revision,49.4
5,5.6,No,5,Low,Medium,94,Low,3,2.5,Healthy,Quiet,No,3,1,Revision,65.2
8,5.7,No,6,High,Medium,68,Low,5,2.3,Okay,Quiet,Yes,2,0,Revision,72.8
7,8.2,No,4,Low,Low,61,Low,1,0.9,Sick,Quiet,No,0,1,Revision,61.8
2,7.2,Yes,4,Medium,Medium,62,Low,1,2.8,Okay,Quiet,No,3,0,Revision,55.0
0,7.6,No,1,Low,Low,65,Medium,4,2.6,Okay,Distracting,No,0,1,Revision,38.6
1,7.2,Yes,2,High,High,65,Low,5,3.7,Sick,Distracting,No,3,3,First Time,45.2
1,8.7,Yes,6,Low,Medium,88,Medium,3,2.5,Okay,Distracting,Yes,1,1,First Time,46.6
6,5.0,No,7,Low,High,83,Low,2,2.9,Healthy,Distracting,Yes,2,0,First Time,58.2
5,8.9,Yes,2,High,High,86,High,1,3.2,Sick,Distracting,No,0,1,Revision,64.8
1,8.2,No,5,Medium,Low,61,Low,3,0.4,Sick,Quiet,No,1,2,Revision,31.8
7,6.9,No,7,Low,Medium,83,Medium,1,2.8,Healthy,Quiet,Yes,4,0,First Time,69.2
8,7.3,Yes,3,High,High,42,Low,2,1.3,Healthy,Distracting,No,2,1,First Time,82.8
6,7.2,Yes,3,Low,Medium,81,Low,2,3.3,Sick,Quiet,No,4,0,Revision,78.0
3,4.3,No,7,Medium,Medium,91,High,5,1.9,Healthy,Quiet,Yes,4,1,Revision,59.8
0,5.1,Yes,3,Medium,Medium,56,High,3,2.3,Sick,Distracting,Yes,1,3,First Time,44.6
3,8.8,Yes,5,Medium,Medium,53,Medium,3,1.0,Sick,Quiet,Yes,4,3,First Time,61.4
3,6.7,Yes,6,Low,High,84,Low,4,2.6,Sick,Distracting,No,3,0,Revision,61.2
7,5.9,No,4,High,Medium,69,Low,4,0.1,Sick,Quiet,Yes,2,0,Revision,69.6
3,7.8,No,2,Medium,Low,52,High,2,3.0,Sick,Distracting,No,2,0,Revision,39.4
3,6.6,Yes,2,High,Low,65,Medium,5,0.7,Sick,Quiet,Yes,1,1,Revision,68.8
1,4.1,No,4,Medium,Medium,79,Low,3,0.9,Sick,Distracting,No,1,3,First Time,22.4
9,7.7,No,6,Low,Medium,71,Medium,5,0.0,Healthy,Quiet,No,3,3,Revision,100.0
6,7.7,Yes,7,Low,Low,85,Medium,2,1.3,Healthy,Distracting,No,1,0,Revision,75.0
3,4.8,Yes,2,Medium,Medium,73,Medium,2,1.6,Healthy,Distracting,Yes,1,0,Revision,71.4
5,8.8,Yes,6,High,High,90,High,4,0.9,Sick,Distracting,Yes,2,3,First Time,68.6
2,5.1,No,7,High,Medium,62,High,4,0.9,Healthy,Quiet,Yes,0,1,Revision,51.4
6,6.3,No,7,Medium,Medium,73,Low,3,3.6,Okay,Distracting,No,3,1,First Time,41.4
5,4.6,Yes,7,Low,High,83,Medium,5,1.3,Healthy,Quiet,No,1,0,Revision,88.6
2,7.0,No,2,High,Medium,91,Medium,2,2.9,Healthy,Quiet,No,2,1,First Time,41.2
3,5.9,No,3,High,High,51,Medium,4,0.9,Healthy,Quiet,Yes,4,2,First Time,62.0
9,5.8,No,3,Low,High,62,Low,5,3.2,Sick,Distracting,Yes,3,2,First Time,80.2
4,8.1,Yes,1,High,Low,67,Low,2,2.7,Okay,Quiet,Yes,1,3,First Time,62.4
8,4.0,No,1,Medium,Low,58,Medium,5,3.0,Okay,Quiet,Yes,0,2,First Time,75.0
5,8.0,No,2,Low,Medium,87,Medium,1,1.8,Okay,Quiet,No,1,3,First Time,63.4
3,6.9,Yes,3,Medium,Low,73,Medium,1,3.5,Sick,Quiet,No,0,2,First Time,47.8
6,8.9,No,6,Low,Medium,47,Low,4,1.5,Healthy,Quiet,No,2,2,Revision,73.2
1,6.9,No,1,Medium,Medium,73,Medium,1,2.4,Sick,Quiet,Yes,4,2,Revision,47.0
3,4.3,Yes,1,Medium,Low,81,Medium,2,2.6,Okay,Distracting,No,1,2,First Time,49.4
4,4.3,No,3,Medium,Low,55,High,4,3.8,Sick,Distracting,No,4,2,First Time,35.0
3,8.4,Yes,6,High,Medium,46,Medium,5,0.5,Okay,Quiet,No,4,3,First Time,60.2
3,8.2,No,1,High,Medium,66,High,3,0.5,Okay,Quiet,Yes,3,2,Revision,65.6
8,5.7,No,4,Medium,Medium,90,Medium,1,1.8,Okay,Quiet,No,4,2,Revision,74.8
1,7.1,Yes,7,Medium,High,59,High,1,3.7,Sick,Distracting,Yes,4,1,First Time,39.4
5,6.4,Yes,6,Low,Medium,93,High,4,0.1,Healthy,Distracting,No,0,0,Revision,86.6
7,8.8,Yes,4,High,Medium,98,Low,2,1.1,Healthy,Distracting,No,3,3,First Time,72.2
7,8.7,No,3,Medium,Medium,74,Medium,1,1.1,Healthy,Distracting,Yes,3,3,First Time,70.4
6,8.9,No,3,High,Low,56,Medium,5,1.2,Healthy,Distracting,No,2,2,First Time,55.8
9,8.3,Yes,1,Low,Low,67,Medium,2,0.1,Healthy,Distracting,No,4,3,First Time,99.2
3,8.5,Yes,2,Medium,High,47,High,1,3.3,Okay,Quiet,Yes,3,3,First Time,72.4
6,5.1,Yes,5,High,Medium,43,Low,1,0.0,Healthy,Distracting,Yes,3,1,Revision,74.2
9,8.2,No,4,Low,Medium,72,High,5,1.9,Okay,Quiet,No,2,3,Revision,97.8
5,7.5,No,4,Medium,Medium,89,High,1,0.2,Healthy,Distracting,No,4,3,First Time,60.6
5,8.8,Yes,6,High,Medium,61,High,2,3.2,Sick,Quiet,No,1,0,First Time,52.0
1,6.9,No,6,Low,Medium,70,Medium,3,3.0,Sick,Quiet,No,0,2,First Time,31.8
7,4.4,No,3,Low,Medium,40,High,3,2.9,Okay,Quiet,No,1,3,Revision,81.0
7,7.0,No,7,High,Low,80,High,1,2.9,Okay,Distracting,Yes,2,0,First Time,46.2
6,7.4,Yes,2,Medium,High,53,Low,4,3.8,Okay,Quiet,Yes,3,2,First Time,86.6
8,5.1,No,3,High,Low,46,Medium,2,1.7,Okay,Quiet,Yes,0,3,Revision,74.8
7,6.0,Yes,1,Low,Low,47,Low,3,3.4,Healthy,Quiet,Yes,3,1,First Time,89.2
8,7.0,Yes,2,Low,Low,47,Medium,4,0.7,Okay,Distracting,Yes,2,1,Revision,100.0
8,5.9,Yes,1,Medium,High,93,Low,3,1.8,Okay,Distracting,No,1,2,First Time,88.2
5,5.9,Yes,4,High,Medium,63,Medium,4,0.0,Sick,Distracting,Yes,1,0,Revision,71.8
1,4.7,Yes,3,Medium,High,94,Medium,1,1.1,Healthy,Quiet,Yes,3,2,Revision,71.2
6,8.7,Yes,6,Medium,Low,40,High,4,1.8,Healthy,Distracting,No,3,3,First Time,72.0
2,7.8,No,3,Low,Low,74,Low,1,3.6,Healthy,Quiet,No,0,0,Revision,44.2
6,4.0,Yes,5,High,Low,80,Medium,4,1.3,Healthy,Quiet,No,0,1,First Time,66.4
8,7.8,No,2,High,Low,47,High,4,2.7,Sick,Distracting,No,3,2,First Time,58.0
9,7.7,No,7,Low,Medium,44,Low,4,3.3,Sick,Distracting,Yes,4,3,First Time,68.0
9,4.0,No,4,Low,Low,71,Medium,2,1.3,Sick,Distracting,No,0,1,Revision,66.4
1,5.8,No,5,High,Low,40,Medium,3,0.7,Sick,Distracting,No,2,0,Revision,21.2
5,7.0,Yes,5,Medium,Medium,41,Medium,4,2.4,Healthy,Quiet,No,1,1,Revision,83.2
5,6.3,No,3,Medium,Low,81,High,1,1.1,Healthy,Distracting,Yes,4,2,First Time,58.4
8,7.9,Yes,2,High,Medium,85,Low,4,2.6,Sick,Distracting,No,3,3,First Time,74.0
8,6.1,Yes,3,Medium,High,54,Medium,2,0.5,Healthy,Distracting,Yes,4,0,Revision,100.0
4,4.8,No,2,Medium,Medium,81,Medium,2,0.6,Sick,Distracting,Yes,1,1,Revision,53.4
4,8.9,Yes,5,Low,Low,48,Low,2,2.7,Okay,Quiet,No,1,1,First Time,53.8
8,5.2,No,1,Medium,Medium,51,Low,4,3.9,Okay,Quiet,Yes,0,1,First Time,73.6
7,7.6,Yes,4,Low,Low,49,Low,4,1.0,Sick,Distracting,Yes,3,1,First Time,74.8
6,4.7,Yes,5,Medium,Low,63,Low,4,2.9,Healthy,Distracting,Yes,4,2,Revision,75.6
7,5.6,Yes,3,High,High,80,Medium,3,2.1,Okay,Quiet,No,2,2,First Time,82.0
5,6.2,No,7,Low,Low,89,High,4,3.4,Okay,Quiet,No,0,1,Revision,58.6
2,5.0,No,7,High,Low,58,Low,5,1.6,Okay,Distracting,Yes,0,2,First Time,23.8
6,6.2,Yes,4,Low,Low,90,High,2,3.9,Sick,Distracting,No,3,2,First Time,62.6
7,4.8,Yes,5,Medium,Medium,56,High,4,0.3,Okay,Quiet,Yes,0,3,First Time,92.0
7,6.8,No,2,High,Low,41,High,3,3.9,Healthy,Quiet,Yes,4,1,Revision,76.8
0,7.3,Yes,7,Low,Low,49,Low,1,3.4,Sick,Distracting,Yes,3,1,Revision,31.6
6,4.3,No,3,High,Low,44,High,2,3.5,Sick,Quiet,No,0,1,First Time,40.6
2,8.4,No,7,High,High,78,High,4,3.4,Okay,Distracting,No,4,1,First Time,28.4
1,4.9,No,5,Medium,High,45,Medium,4,3.4,Okay,Quiet,No,1,2,Revision,44.0
1,5.1,No,2,Low,Medium,41,Low,1,3.3,Sick,Quiet,No,4,3,Revision,38.6
7,7.3,Yes,2,Medium,High,47,Low,3,3.6,Healthy,Distracting,No,1,3,First Time,86.2
8,6.3,No,2,High,High,43,Low,5,1.8,Sick,Quiet,No,0,3,Revision,82.0
2,6.5,No,7,Low,Medium,98,Low,1,3.8,Sick,Distracting,Yes,2,1,First Time,22.4
2,4.6,No,4,High,High,89,Low,3,1.5,Sick,Quiet,Yes,2,2,Revision,44.2
5,8.0,No,3,High,Low,70,Medium,3,2.9,Healthy,Quiet,No,3,3,First Time,53.2
9,7.1,Yes,2,Low,Low,75,High,4,2.8,Sick,Distracting,No,1,0,First Time,87.2
0,4.7,No,5,High,Low,47,Medium,4,3.3,Okay,Quiet,No,1,1,Revision,21.8
5,5.9,Yes,2,Low,High,70,High,2,3.0,Okay,Distracting,Yes,4,2,First Time,82.8
2,8.1,No,3,Low,Medium,56,Low,4,0.1,Healthy,Quiet,No,1,1,First Time,53.6
3,6.8,No,6,Low,High,98,Medium,4,3.0,Okay,Distracting,Yes,0,1,First Time,50.6
8,4.5,Yes,6,High,Medium,96,Low,3,0.1,Healthy,Quiet,No,2,3,Revision,89.8
2,5.9,No,4,Medium,Low,85,Low,4,2.1,Okay,Distracting,No,0,3,First Time,30.6
0,5.2,Yes,2,High,Medium,79,High,4,3.4,Sick,Distracting,No,0,0,Revision,40.6
2,6.6,No,5,High,Low,53,High,4,3.3,Healthy,Distracting,Yes,1,3,Revision,46.6
6,8.2,Yes,3,Low,High,47,High,5,3.4,Okay,Distracting,No,1,0,Revision,91.8
6,6.2,Yes,7,Medium,High,97,Medium,5,2.4,Sick,Distracting,Yes,0,0,Revision,78.6
4,6.2,Yes,2,Low,Medium,64,High,2,0.7,Healthy,Quiet,No,0,3,Revision,94.0
0,8.5,Yes,7,High,High,53,Low,1,2.0,Healthy,Quiet,Yes,3,2,Revision,50.0
7,6.9,Yes,4,Medium,Medium,62,High,3,2.1,Okay,Quiet,Yes,1,1,Revision,96.6
9,6.8,No,1,Low,High,82,High,2,1.3,Okay,Distracting,No,4,2,First Time,90.0
7,5.3,Yes,6,High,High,80,High,3,1.7,Sick,Distracting,Yes,1,3,First Time,75.2
9,7.0,Yes,5,High,High,56,High,1,3.5,Healthy,Quiet,No,2,1,First Time,90.0
9,6.9,No,6,Medium,Medium,88,Low,1,2.1,Sick,Quiet,No,1,2,Revision,69.6
9,6.0,Yes,2,High,Medium,51,High,2,2.8,Sick,Quiet,No,0,2,First Time,84.4
1,9.0,No,2,High,Medium,59,Low,5,2.0,Okay,Distracting,No,4,1,First Time,26.0
9,8.4,No,1,High,High,73,Medium,5,2.5,Okay,Quiet,Yes,3,1,Revision,95.2
2,7.7,Yes,3,High,Low,95,Medium,5,0.4,Okay,Distracting,Yes,4,0,Revision,60.8
3,6.7,Yes,7,Medium,Medium,88,Low,4,3.7,Okay,Distracting,Yes,1,2,First Time,51.0
0,6.3,Yes,7,High,Low,91,Medium,4,1.7,Healthy,Distracting,No,3,1,Revision,38.2
3,4.9,Yes,7,High,Medium,50,High,2,3.0,Sick,Distracting,Yes,1,2,Revision,48.8
4,5.5,Yes,1,High,Medium,66,High,4,2.7,Healthy,Distracting,No,3,1,Revision,74.6
2,7.9,Yes,7,Medium,Low,48,High,3,3.2,Sick,Quiet,Yes,4,2,Revision,53.8
9,6.3,No,3,Medium,Low,57,Medium,2,0.1,Healthy,Distracting,Yes,1,1,Revision,85.4
1,8.4,No,2,Low,High,77,Low,2,3.7,Sick,Distracting,Yes,1,3,First Time,36.8
5,4.7,No,1,Medium,Low,75,Medium,1,3.3,Healthy,Distracting,Yes,3,3,Revision,61.8
7,6.5,No,6,High,Medium,85,Medium,1,3.3,Okay,Quiet,Yes,4,2,First Time,56.4
6,7.2,Yes,7,Medium,Low,67,Low,2,1.9,Okay,Quiet,Yes,0,0,First Time,64.8
0,6.6,Yes,6,Medium,Low,59,Low,5,3.2,Sick,Distracting,No,2,2,First Time,25.8
3,8.4,No,7,Medium,Low,93,Medium,1,2.3,Sick,Quiet,Yes,0,0,First Time,27.6
2,8.9,Yes,2,High,Low,81,Medium,4,2.0,Sick,Distracting,No,2,2,Revision,47.2
5,4.6,Yes,1,Low,High,68,Low,2,3.1,Okay,Quiet,No,2,0,First Time,75.0
8,4.6,No,2,Low,Medium,43,Low,3,2.5,Sick,Quiet,Yes,3,3,First Time,75.2
8,4.7,No,6,Low,Medium,54,Medium,2,0.3,Sick,Distracting,Yes,4,3,First Time,66.8
6,7.4,No,6,Low,Medium,80,High,3,1.3,Okay,Distracting,No,2,3,First Time,63.6
8,5.9,No,2,Medium,High,83,High,1,2.5,Healthy,Distracting,No,2,0,First Time,74.8
7,7.7,Yes,7,Low,Low,67,High,5,3.6,Sick,Quiet,Yes,2,2,First Time,79.4
4,6.0,No,2,Medium,Medium,79,Low,3,3.7,Sick,Quiet,Yes,3,0,First Time,46.6
8,7.1,Yes,4,Medium,Medium,63,High,5,3.4,Sick,Distracting,No,0,1,First Time,79.0
6,7.8,No,1,Low,Low,76,High,3,1.0,Okay,Quiet,Yes,0,1,Revision,83.4
4,6.7,No,4,High,Medium,55,Low,5,1.9,Healthy,Quiet,No,1,3,Revision,63.6
7,6.7,No,2,Low,Low,61,Low,3,1.7,Okay,Quiet,No,0,0,First Time,67.0
6,4.4,Yes,5,Low,High,86,Low,2,1.8,Okay,Quiet,Yes,2,1,Revision,87.2
8,6.1,Yes,6,Medium,Medium,56,High,2,0.2,Healthy,Distracting,Yes,1,0,First Time,88.8
9,6.7,Yes,3,Medium,Medium,40,High,1,0.7,Okay,Distracting,No,0,1,Revision,96.0
0,6.3,Yes,1,Low,Low,70,High,2,0.6,Sick,Distracting,No,0,0,First Time,43.4
8,8.5,No,1,Low,High,64,High,4,2.5,Sick,Quiet,No,2,1,Revision,91.0
6,8.5,No,6,High,Medium,51,Low,1,1.6,Okay,Distracting,No,1,0,Revision,44.8
0,8.1,No,3,High,Low,59,High,2,1.3,Healthy,Quiet,Yes,4,0,First Time,33.2
0,5.9,No,4,High,High,58,Low,2,1.8,Sick,Quiet,Yes,0,2,Revision,34.2
4,7.6,Yes,3,Medium,Low,44,Medium,4,1.3,Healthy,Distracting,Yes,0,3,Revision,81.2
7,6.0,No,5,High,Medium,54,Medium,5,3.0,Healthy,Distracting,Yes,0,3,First Time,67.0
8,5.2,No,2,Medium,Medium,80,Medium,2,0.7,Sick,Quiet,No,1,3,Revision,79.0
5,5.7,No,3,Medium,Medium,64,High,3,0.2,Sick,Quiet,Yes,3,1,Revision,70.0
9,4.4,Yes,7,Low,Low,74,Low,5,2.6,Sick,Distracting,No,2,2,Revision,78.6
7,5.7,Yes,3,High,High,83,Medium,3,0.9,Sick,Distracting,Yes,2,0,First Time,76.6
5,6.3,Yes,2,Low,Medium,94,Low,5,2.6,Sick,Distracting,Yes,3,0,First Time,72.4
5,8.8,No,6,Low,Medium,90,High,3,0.2,Okay,Distracting,Yes,1,0,First Time,59.0
3,5.6,Yes,1,Medium,Low,86,High,2,1.0,Okay,Quiet,Yes,4,1,First Time,67.2
4,8.5,Yes,6,High,Medium,42,Medium,3,0.6,Okay,Quiet,Yes,0,0,Revision,69.8
1,5.1,No,7,Low,Low,91,Medium,2,1.2,Sick,Distracting,Yes,0,3,Revision,31.8
2,5.0,Yes,5,Medium,Medium,57,Medium,4,1.3,Healthy,Distracting,No,3,3,Revision,64.4
2,6.6,No,6,Low,High,61,High,3,2.0,Okay,Distracting,Yes,4,3,Revision,60.2
4,7.4,No,3,High,Medium,55,High,1,2.1,Healthy,Distracting,No,0,3,First Time,49.0
4,4.2,Yes,3,Medium,Low,54,Medium,1,2.5,Sick,Quiet,Yes,3,1,First Time,52.4
